address;is_alarm;floor_count_max;floor_count_min;entrance_count;quarters_count;living_quarters_count;unliving_quarters_count;area_total;area_residential;area_non_residential;area_common_property;area_land;basement_area
обл. Оренбургская, г. Оренбург, ул. Григорьевская, д. 86, стр. АА1;Нет;2;;3;3;;;172;109;0;;;63
обл. Оренбургская, г. Оренбург, пер. Гугучкинский, д. 17, стр. литер АА1;Нет;1;;1;1;;;74,5;45,8;0;;1112;28,7
обл. Оренбургская, г. Оренбург, пер. Гугучкинский, д. 19, стр. литер А2;Нет;3;1;1;24;24;1;2167,4;1582,2;485,2;139,9;792;485,4
обл. Оренбургская, г. Оренбург, ул. Декабристов, д. 12;Нет;1;1;1;1;1;0;41,2;41,2;0;0;425;0
обл. Оренбургская, г. Оренбург, пер. Диспансерный, д. 22, стр. литер АА1;Нет;1;1;1;4;4;0;161,3;161,3;0;0;742;0
обл. Оренбургская, г. Оренбург, ул. Донецкая, д. 152, стр. литер А;Нет;1;1;;1;1;0;31,7;31,7;0;0;413;0
обл. Оренбургская, г. Оренбург, ул. Елькинская, д. 4;Нет;1;;;1;;;39,7;24;;;;
обл. Оренбургская, г. Оренбург, ул. Енисейская, д. 36;Нет;1;1;0;5;5;0;226;226;0;0;1643;0
обл. Оренбургская, г. Оренбург, ул. Енисейская, д. 40;Нет;1;1;0;5;5;0;196,3;196,3;0;0;980;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 5, стр. литер А5;Нет;1;;;1;;;53,7;32,3;21,4;;;
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 6, стр. литер А6;Нет;1;;;1;;;52,4;31,7;20,7;;;
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17/1;Нет;1;1;0;5;5;0;170,3;170,3;0;0;8030;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17/14;Нет;1;1;0;2;2;0;240,4;240,4;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. А 2;Нет;1;1;0;5;5;0;170,6;170,6;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. А 3;Нет;1;1;0;5;5;0;170,1;170,1;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. А, стр. 16;Нет;1;1;0;2;2;0;114,4;114,4;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. А, стр. 17;Нет;1;1;0;2;2;0;114,1;114,1;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. А, стр. 18;Нет;1;1;0;2;2;0;113,8;113,8;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. А, стр. 19;Нет;1;1;0;2;2;0;113,2;113,2;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. А, стр. 22;Нет;1;1;0;2;2;0;113,3;113,3;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. А, стр. 23;Нет;1;1;0;2;2;0;113,4;113,4;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. А, стр. 24;Нет;1;1;0;5;5;0;168,8;168,8;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. А, стр. 25;Нет;1;1;0;5;5;0;169;169;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. А, стр. 26;Нет;1;1;0;5;5;0;169,1;169,1;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. А, стр. 27;Нет;1;1;0;4;4;0;245,7;245,7;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. А, стр. 29;Нет;1;1;0;5;5;0;169,3;169,3;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. А, стр. 30;Нет;1;1;0;6;6;0;167,5;167,5;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. А, стр. 31;Нет;1;1;0;5;5;0;169,1;169,1;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. А, стр. 32;Нет;1;1;0;5;5;0;168,1;168,1;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. А, стр. 33;Нет;1;1;0;5;5;0;168,4;168,4;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. А, стр. 34;Нет;1;1;0;5;5;0;168;168;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. А, стр. 35;Нет;1;1;0;5;5;0;197,2;197,2;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. А, стр. 38;Нет;1;1;0;2;2;0;113,4;113,4;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. лите А 11;Нет;1;1;0;5;5;0;166,8;166,8;0;0;0;0
обл. Оренбургская, г. Оренбург, д. Заречная 17 литер А 6;Нет;1;1;0;1;1;0;52,4;52,4;0;0;55;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. литер А10;Нет;1;1;0;5;5;0;170,8;170,8;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. литер А 12;Нет;1;1;0;4;4;0;269,4;269,4;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 17, к. литер А 13;Нет;1;1;0;2;2;0;114,1;114,1;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Заречная, д. 63;Нет;1;1;0;5;5;0;267,3;267,3;0;0;1486;0
обл. Оренбургская, г. Оренбург, ул. Зиминская, д. 8 Литер ББ1;Нет;1;;1;1;;;126,2;71,5;;;;
обл. Оренбургская, г. Оренбург, ул. Зиновьева, д. 67;Нет;2;;;1;;;90,7;90,7;0;;765;
обл. Оренбургская, г. Оренбург, пер. Ивановский, д. 34, стр. литер ГЗ;Нет;1;1;1;1;1;0;70,9;70,9;0;0;1933;0
обл. Оренбургская, г. Оренбург, ул. Илекская, д. 1;Нет;1;1;0;5;5;0;359,4;359,4;0;0;1781;0
обл. Оренбургская, г. Оренбург, ул. Илекская, д. 9;Нет;1;;;1;;;44,1;35,2;8,9;;525;
обл. Оренбургская, г. Оренбург, ул. Илекская, д. 9, стр. литер А;Нет;1;1;0;1;1;0;44,1;44,1;0;0;525;0
обл. Оренбургская, г. Оренбург, ул. Илекская, д. 15;Нет;1;1;0;5;5;0;232,7;232,7;0;0;1022;0
обл. Оренбургская, г. Оренбург, ул. Илекская, д. 17;Нет;1;1;0;7;7;0;310,8;310,8;0;0;1531;0
обл. Оренбургская, г. Оренбург, ул. Илекская, д. 56;Нет;1;;;2;;;119,8;;;;1066;
обл. Оренбургская, г. Оренбург, ул. Илекская, д. 60;Нет;1;1;0;2;2;0;100,1;100,1;0;0;1123;0
обл. Оренбургская, г. Оренбург, ул. Илекская, д. 62;Нет;1;1;0;2;2;0;131;131;0;0;1022;0
обл. Оренбургская, г. Оренбург, ул. Илекская, д. 70;Нет;1;;;2;;;113,3;113,3;0;;962;0
обл. Оренбургская, г. Оренбург, ул. Илекская, д. 72;Нет;1;1;0;2;2;0;109,6;109,6;0;0;1046;0
обл. Оренбургская, г. Оренбург, ул. Илекская, д. 74;Нет;1;1;0;4;4;0;151,9;151,9;0;0;1469;0
обл. Оренбургская, г. Оренбург, ул. Илекская, д. 122;Нет;1;;;1;;;44,1;33,3;10,8;;466;
обл. Оренбургская, г. Оренбург, ул. Казанская, д. 1;Нет;1;1;1;3;3;0;108,4;73,7;0;0;2485;0
обл. Оренбургская, г. Оренбург, ул. Казанская, д. 2б;Нет;1;1;1;2;2;0;144,5;78,5;0;0;3039;0
обл. Оренбургская, г. Оренбург, ул. Казанская, д. 4а;Нет;1;1;1;2;2;0;131,5;78,7;0;0;2100;0
обл. Оренбургская, г. Оренбург, ул. Казанская, д. 5;Нет;1;1;1;1;1;0;42,5;42,5;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Казанская, д. 6;Нет;1;;1;2;;;132,1;84,9;0;;2756;0
обл. Оренбургская, г. Оренбург, ул. Казанская, д. 6а;Нет;1;;1;1;;;72,4;40,3;0;;2855;0
обл. Оренбургская, г. Оренбург, ул. Казанская, д. 7;Нет;1;1;1;3;3;0;115,9;68,4;0;0;1809;0
обл. Оренбургская, г. Оренбург, ул. Казанская, д. 8;Нет;1;1;1;2;2;0;75,3;50,3;0;0;2608;0
